date,year,month,station_id,station_name,tmean,tmean_norm,tmean_z,precip_mm,precip_p95,delta_tmean_1d,signals,triggered_parameters,risk_points,severity
2008-01-06,2008,1,30230,Киренск,-19.0,-25.72,0.61,0.5,2.62,8.0,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-07,2008,1,24688,Оймякон,-43.5,-45.23,0.25,1.1,0.88,7.899999999999999,экстремальные суточные осадки,precip_mm ≥ precip_p95,2,умеренная
2008-01-09,2008,1,30230,Киренск,-20.7,-25.35,0.45,1.9,2.74,13.7,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-13,2008,1,30230,Киренск,-39.2,-26.17,-1.31,0.6,2.5,8.099999999999994,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-14,2008,1,30230,Киренск,-30.3,-26.47,-0.38,0.4,2.5,8.900000000000002,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-15,2008,1,24944,Олёкминск,-29.9,-33.02,0.36,1.2,1.6,10.100000000000001,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-19,2008,1,24266,Верхоянск,-36.7,-45.47,1.49,0.5,0.8,8.699999999999996,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-20,2008,1,24266,Верхоянск,-34.7,-45.44,1.84,1.3,0.88,2.0,экстремальные суточные осадки,precip_mm ≥ precip_p95,2,умеренная
2008-01-20,2008,1,24959,Якутск,-36.6,-37.0,0.06,1.4,1.0,0.8999999999999986,экстремальные суточные осадки,precip_mm ≥ precip_p95,2,умеренная
2008-01-20,2008,1,24944,Олёкминск,-24.9,-32.61,0.91,0.0,1.68,10.600000000000001,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-21,2008,1,24266,Верхоянск,-29.3,-45.54,2.89,1.5,0.8,5.400000000000002,аномально тёплый день; экстремальные суточные осадки,tmean_z ≥ 2; precip_mm ≥ precip_p95,3,экстремальная
2008-01-21,2008,1,24343,Жиганск,-32.5,-37.29,0.7,2.5,1.88,1.8999999999999986,экстремальные суточные осадки,precip_mm ≥ precip_p95,2,умеренная
