Date;Value
2001-10-12;14
2001-10-20;47
2001-10-21;36
2001-10-22;42
2001-10-23;40
2001-10-24;21
2001-10-25;16
2001-10-26;12
2001-10-27;8
2001-10-28;18
2001-10-29;2
2001-10-30;-17
2001-10-31;-26
2001-11-20;-25
2001-11-30;-25
2001-12-10;14
2001-12-20;0
2002-01-10;55
2002-01-20;83
2002-01-31;78
2002-02-11;70
2002-02-20;63
2002-03-10;53
2002-03-20;38
2002-03-31;33
2002-04-01;32
2002-04-02;33
2002-04-03;28
2002-04-04;25
2002-04-05;25
2002-04-06;25
2002-04-07;25
2002-04-08;25
2002-04-09;25
2002-04-10;25
2002-04-11;25
2002-04-12;25
2002-04-13;24
2002-04-14;24
2002-04-15;24
2002-04-16;24
2002-04-17;24
2002-04-18;24
2002-04-19;22
2002-04-20;22
2002-04-21;22
2002-04-22;20
2002-04-23;20
2002-04-24;20
2002-04-25;20
2002-04-26;16
2002-04-27;16
2002-04-28;21
2002-04-29;21
2002-04-30;26
2002-05-01;31
2002-05-02;31
2002-05-03;35
2002-05-04;40
2002-05-05;50
2002-05-06;61
2002-05-07;124
2002-05-08;176
2002-05-09;273
2002-05-10;346
2002-05-11;411
2002-05-12;462
2002-05-13;481
2002-05-14;471
2002-05-15;452
2002-05-16;442
2002-05-17;449
2002-05-18;462
2002-05-19;486
2002-05-20;469
2002-05-21;405
2002-05-22;360
2002-05-23;343
2002-05-24;332
2002-05-25;332
2002-05-26;341
2002-05-27;357
2002-05-28;373
2002-05-29;373
2002-05-30;358
2002-05-31;349
2002-06-01;331
2002-06-02;353
2002-06-03;368
2002-06-04;372
2002-06-05;373
2002-06-06;356
2002-06-07;319
2002-06-08;288
2002-06-09;270
2002-06-10;273
2002-06-11;288
2002-06-12;278
2002-06-13;262
2002-06-14;235
2002-06-15;232
2002-06-16;232
2002-06-17;229
2002-06-18;229
2002-06-19;220
2002-06-20;212
2002-06-21;202
2002-06-22;197
2002-06-23;202
2002-06-24;223
2002-06-25;242
2002-06-26;269
2002-06-27;242
2002-06-28;225
2002-06-29;210
2002-06-30;212
2002-07-01;230
2002-07-02;228
2002-07-03;223
2002-07-04;212
2002-07-05;202
2002-07-06;182
2002-07-07;169
2002-07-08;162
2002-07-09;157
2002-07-10;157
2002-07-11;157
2002-07-12;152
2002-07-16;112
2002-07-17;105
2002-07-18;98
2002-07-19;91
2002-07-23;74
2002-07-24;69
2002-07-25;62
2002-07-26;58
2002-07-29;45
2002-07-30;42
2002-07-31;35
2002-08-01;35
2002-08-02;41
2002-08-03;49
2002-08-04;64
2002-08-05;61
2002-08-06;60
2002-08-07;58
2002-08-08;52
2002-08-09;47
2002-08-10;43
2002-08-11;40
2002-08-12;36
2002-08-13;33
2002-08-14;28
2002-08-15;28
2002-08-16;28
2002-08-17;24
2002-08-18;20
2002-08-19;19
2002-08-20;17
2002-08-21;15
2002-08-22;12
2002-08-23;9
2002-08-24;9
2002-08-25;7
2002-08-26;14
2002-08-27;19
2002-08-28;21
2002-08-29;23
2002-08-30;26
2002-08-31;23
2002-09-01;19
2002-09-02;25
2002-09-03;25
2002-09-04;25
2002-09-05;22
2002-09-06;30
2002-09-07;34
2002-09-08;42
2002-09-09;42
2002-09-10;35
2002-09-11;32
2002-09-12;35
2002-09-13;42
2002-09-14;56
2002-09-15;63
2002-09-16;55
2002-09-17;49
2002-09-18;40
2002-09-19;34
2002-09-20;29
2002-09-21;29
2002-09-22;24
2002-09-23;44
2002-09-24;60
2002-09-25;75
2002-09-26;75
2002-09-27;65
2002-09-28;60
2002-09-29;55
2002-09-30;45
2002-10-01;45
2002-10-02;40
2002-10-03;38
2002-10-04;35
2002-10-05;28
