Date;Value
2001-01-11;42
2001-02-11;28
2001-03-11;32
2001-05-11;15
2001-06-11;22
2001-07-11;17
2001-08-11;18
2001-10-11;10
2001-10-20;83
2001-10-21;78
2001-10-22;76
2001-10-23;55
2001-10-24;46
2001-10-25;49
2001-10-26;51
2001-10-27;47
2001-10-28;58
2001-10-29;44
2001-10-30;44
2001-10-31;44
2001-11-01;42
2001-11-02;28
2001-11-03;32
2001-11-04;15
2001-11-05;15
2001-11-06;22
2001-11-07;17
2001-11-08;18
2001-11-09;10
2001-11-10;10
2001-11-11;-8
2001-11-12;-36
2001-11-13;49
2001-11-14;60
2001-11-15;60
2001-11-16;69
2001-11-17;69
2001-11-18;70
2001-11-19;0
2001-11-20;0
2001-12-11;-36
2002-04-15;13
2002-04-16;13
2002-04-17;13
2002-04-18;13
2002-04-19;15
2002-04-20;15
2002-04-21;15
2002-04-22;16
2002-04-23;16
2002-04-24;16
2002-04-25;17
2002-04-26;17
2002-04-27;20
2002-04-28;21
2002-04-29;22
2002-04-30;22
2002-05-01;24
2002-05-02;29
2002-05-03;30
2002-05-04;31
2002-05-05;33
2002-05-06;35
2002-05-07;42
2002-05-08;63
2002-05-09;116
2002-05-10;375
2002-05-11;421
2002-05-12;475
2002-05-13;640
2002-05-14;812
2002-05-15;868
2002-05-16;868
2002-05-17;847
2002-05-18;837
2002-05-19;848
2002-05-20;862
2002-05-21;866
2002-05-22;854
2002-05-23;829
2002-05-24;798
2002-05-25;789
2002-05-26;782
2002-05-27;779
2002-05-28;790
2002-05-29;826
2002-05-30;839
2002-05-31;823
2002-06-01;782
2002-06-02;729
2002-06-03;674
2002-06-04;642
2002-06-05;637
2002-06-06;642
2002-06-07;653
2002-06-08;640
2002-06-09;621
2002-06-10;591
2002-06-11;560
2002-06-12;542
2002-06-13;541
2002-06-14;534
2002-06-15;521
2002-06-16;497
2002-06-17;487
2002-06-18;482
2002-06-19;481
2002-06-20;484
2002-06-21;489
2002-06-22;469
2002-06-23;485
2002-06-24;460
2002-06-25;430
2002-06-26;403
2002-06-27;385
2002-06-28;377
2002-06-29;379
2002-06-30;403
2002-07-01;433
2002-07-02;445
2002-07-03;428
2002-07-04;406
2002-07-05;400
2002-07-06;416
2002-07-07;438
2002-07-08;476
2002-07-09;501
2002-07-10;523
2002-07-11;522
2002-07-16;422
2002-07-17;408
2002-07-18;388
2002-07-19;365
2002-07-23;273
2002-07-24;250
2002-07-25;227
2002-07-26;215
2002-07-30;173
2002-07-31;171
2002-08-01;167
2002-08-02;161
2002-08-03;156
2002-08-04;162
2002-08-05;200
2002-08-06;220
2002-08-07;209
2002-08-08;209
2002-08-09;223
2002-08-10;230
2002-08-11;227
2002-08-12;215
2002-08-13;197
2002-08-14;178
2002-08-15;161
2002-08-16;146
2002-08-17;134
2002-08-18;122
2002-08-19;112
2002-08-20;106
2002-08-21;102
2002-08-22;95
2002-08-23;90
2002-08-24;87
2002-08-25;86
2002-08-26;84
2002-08-27;83
2002-08-28;83
2002-08-29;88
2002-08-30;100
2002-08-31;102
2002-09-01;123
2002-09-02;196
2002-09-03;206
2002-09-04;217
2002-09-05;264
2002-09-06;336
2002-09-07;361
2002-09-08;346
2002-09-09;316
2002-09-10;281
2002-09-11;248
2002-09-12;222
2002-09-13;210
2002-09-14;203
2002-09-15;206
2002-09-16;210
2002-09-17;215
2002-09-18;220
2002-09-19;218
2002-09-20;217
2002-09-21;214
2002-09-22;209
2002-09-23;198
2002-09-24;191
2002-09-25;190
2002-09-26;199
2002-09-27;208
2002-09-28;216
2002-09-29;224
2002-09-30;222
2002-10-01;215
2002-10-02;207
2002-10-03;197
2002-10-04;187
2002-10-05;182
2002-10-06;173
2002-10-07;165
2002-10-08;156
2002-10-09;149
2002-10-10;140
2002-10-11;134
2002-10-12;126
2002-10-13;117
2002-10-14;109
2002-10-15;102
2002-10-16;98
2002-10-17;89
2002-10-18;75
2002-10-19;69
2002-10-20;65
2002-10-21;63
2002-10-22;61
2002-10-23;52
2002-10-24;52
2002-10-25;52
2002-10-26;40
2002-10-27;28
2002-10-28;19
2002-10-29;10
2002-10-30;6
2002-10-31;0
2002-11-01;-8
2002-11-02;-8
2002-11-03;-11
2002-11-04;-21
2002-11-05;-35
2002-11-06;-65
2002-11-07;-66
2002-11-08;-64
2002-11-09;-62
2002-11-10;-52
2002-11-11;16
2002-11-12;53
2002-11-13;66
2002-11-14;67
2002-11-15;78
2002-11-18;80
2003-04-11;20
2003-04-14;20
2003-04-15;20
2003-04-16;21
2003-04-17;24
2003-04-18;27
2003-04-19;29
2003-04-20;30
2003-04-21;31
2003-04-22;32
2003-04-23;34
2003-04-24;35
2003-04-25;35
2003-04-26;35
2003-04-27;36
2003-04-28;35
2003-04-29;35
2003-04-30;35
2003-05-01;35
2003-05-02;39
2003-05-03;42
2003-05-04;45
2003-05-05;47
2003-05-06;48
2003-05-07;48
2003-05-08;47
2003-05-09;49
2003-05-10;49
2003-05-11;49
2003-05-12;60
2003-05-13;64
2003-05-14;74
2003-05-15;80
2003-05-16;128
2003-05-17;154
2003-05-18;249
2003-05-19;371
2003-05-20;658
2003-05-21;723
2003-05-22;661
2003-05-23;628
2003-05-24;607
2003-05-25;577
2003-05-26;541
2003-05-27;490
2003-05-28;442
2003-05-29;402
2003-05-30;383
2003-05-31;395
2003-06-01;418
2003-06-02;397
2003-06-03;417
2003-06-04;648
2003-06-05;530
2003-06-06;596
2003-06-07;666
2003-06-08;678
2003-06-09;654
2003-06-10;606
2003-06-13;466
2003-06-14;467
2003-06-15;467
2003-06-16;459
2003-06-17;452
2003-06-18;445
2003-06-19;431
2003-06-20;420
2003-06-21;412
2003-06-22;392
2003-06-23;372
2003-06-24;356
2003-06-25;339
2003-06-26;321
2003-06-27;297
2003-06-28;277
2003-06-29;273
2003-06-30;263
2003-07-01;256
2003-07-02;258
2003-07-03;284
2003-07-04;317
2003-07-05;245
2003-07-06;226
2003-07-07;328
2003-07-08;352
2003-07-09;355
2003-07-10;334
2003-07-11;305
2003-07-12;282
2003-07-13;258
2003-07-14;239
2003-07-15;221
2003-07-16;205
2003-07-24;101
2003-07-25;96
2003-07-26;94
2003-07-27;89
2003-07-28;83
2003-07-29;73
2003-07-30;66
2003-07-31;62
2003-08-01;79
2003-08-02;170
2003-08-03;203
2003-08-04;248
2003-08-05;311
2003-08-06;348
2003-08-07;360
2003-08-08;357
2003-08-09;344
2003-08-10;321
2003-08-11;295
2003-08-12;267
2003-08-13;246
2003-08-14;239
2003-08-15;249
2003-08-16;256
2003-08-17;271
2003-08-18;274
2003-08-19;286
2003-08-20;306
2003-08-21;321
2003-08-22;323
2003-08-23;324
2003-08-24;325
2003-08-25;336
2003-08-26;353
2003-08-27;364
2003-08-28;364
2003-08-29;350
2003-08-30;335
2003-08-31;317
2003-09-01;300
2003-09-02;294
2003-09-03;274
2003-09-04;269
2003-09-05;277
2003-09-06;285
2003-09-07;279
2003-09-08;263
2003-09-09;238
2003-09-10;225
2003-09-11;210
2003-09-12;198
2003-09-13;198
2003-09-14;181
2003-09-15;173
2003-09-16;169
2003-09-17;166
2003-09-18;161
2003-09-19;157
2003-09-20;156
2003-09-21;155
2003-09-22;154
2003-09-23;145
2003-09-24;144
2003-09-25;139
2003-09-26;131
2003-09-27;124
2003-09-28;119
2003-09-29;115
2003-09-30;109
2003-10-01;104
2003-10-02;110
2003-10-03;107
2003-10-04;107
2003-10-05;107
2003-10-06;106
2003-10-07;102
2003-10-08;98
2003-10-09;92
2003-10-10;87
2003-10-11;84
2003-10-12;79
2003-10-13;77
2003-10-14;76
2003-10-15;75
2003-10-16;73
2003-10-17;69
2003-10-18;67
2003-10-19;69
2003-10-20;62
2003-10-21;70
2003-10-22;65
2003-10-23;62
2003-10-24;60
2003-10-25;70
2003-10-26;75
2003-10-27;80
2003-10-28;80
2003-10-29;84
2003-10-30;78
2003-10-31;64
2003-11-01;48
2003-11-02;33
2003-11-03;24
2003-11-04;22
2003-11-05;16
2003-11-06;0
2003-11-07;-9
2003-11-08;-36
2003-11-09;56
2003-11-10;48
2003-11-11;45
2003-11-12;37
2003-11-13;29
2003-11-14;27
2003-11-15;22
2003-12-12;37
2004-04-15;17
2004-04-16;17
2004-04-17;17
2004-04-18;17
2004-04-19;17
2004-04-20;18
2004-04-21;18
2004-04-22;19
2004-04-23;19
2004-04-24;19
2004-04-25;19
2004-04-26;19
2004-04-27;19
2004-04-28;19
2004-04-29;19
2004-04-30;21
2004-05-01;23
2004-05-02;26
2004-05-03;27
2004-05-04;29
2004-05-05;30
2004-05-06;33
2004-05-07;33
2004-05-08;39
2004-05-09;40
2004-05-10;42
2004-05-11;44
2004-05-12;48
2004-05-13;49
2004-05-14;61
2004-05-15;81
2004-05-16;115
2004-05-17;199
2004-05-18;427
2004-05-19;461
2004-05-20;448
2004-06-22;972
2004-06-23;927
2004-06-24;892
2004-06-25;859
2004-06-26;815
2004-06-27;767
2004-06-28;725
2004-06-29;676
2004-06-30;630
2004-07-01;585
2004-07-02;539
2004-07-03;502
2004-07-04;475
2004-07-05;449
2004-07-06;424
2004-07-07;407
2004-07-08;375
2004-07-09;349
2004-07-10;332
2004-07-11;317
2004-07-12;301
2004-07-13;290
2004-07-14;381
2004-07-15;276
2004-07-16;310
2004-07-17;262
2004-07-18;251
2004-07-19;240
2004-07-20;228
2004-07-21;215
2004-07-22;208
2004-07-23;206
2004-07-24;207
2004-07-25;211
2004-07-26;210
2004-07-27;211
2004-07-28;227
2004-07-29;287
2004-07-30;345
2004-07-31;468
2004-08-01;558
2004-08-02;609
2004-08-03;614
2004-08-04;593
2004-08-05;547
2004-08-06;498
2004-08-07;445
2004-08-08;410
2004-08-09;345
2004-08-10;318
2004-08-11;314
2004-08-12;306
2004-08-13;311
2004-08-14;311
2004-08-15;310
2004-08-16;311
2004-08-17;311
2004-08-18;310
2004-08-19;300
2004-08-20;282
2004-08-21;249
2004-08-22;231
2004-08-23;208
2004-08-24;188
2004-08-25;175
2004-08-26;163
2004-08-27;154
2004-08-28;146
2004-08-29;139
2004-08-30;135
2004-08-31;138
2004-09-01;157
2004-09-02;183
2004-09-03;267
2004-09-04;475
2004-09-05;345
2004-09-06;359
2004-09-07;353
2004-09-08;355
2004-09-09;356
2004-09-10;348
2004-09-11;339
2004-09-12;334
2004-09-13;338
2004-09-14;336
2004-09-15;326
2004-09-16;309
2004-09-17;291
2004-09-18;270
2004-09-19;247
2004-09-20;233
2004-09-21;241
2004-09-22;252
2004-09-23;292
2004-09-24;295
2004-09-25;296
2004-09-26;307
2004-09-27;323
2004-09-28;331
2004-09-29;328
2004-09-30;316
2004-10-01;303
2004-10-02;291
2004-10-03;277
2004-10-04;262
2004-10-05;248
2004-10-06;232
2004-10-07;217
2004-10-08;207
2004-10-09;199
2004-10-10;193
2004-10-11;189
2004-10-12;188
2004-10-13;194
2004-10-14;213
2004-10-15;231
2004-10-16;241
2004-10-17;243
2004-10-18;245
2004-10-19;243
2004-10-20;236
2004-10-21;219
2004-10-22;203
2004-10-23;187
2004-10-24;174
2004-10-25;160
2004-10-26;148
2004-10-27;141
2004-10-28;137
2004-10-29;130
2004-11-01;107
2004-11-02;111
2004-11-03;113
2004-11-04;109
2004-11-05;108
2004-11-09;63
2004-11-10;34
2004-11-11;33
2004-11-12;23
2004-11-15;93
2004-11-16;118
2004-11-17;136
2005-02-10;69
2005-02-20;63
2005-03-10;30
2005-03-20;28
2005-03-31;25
2005-04-11;25
2005-04-12;25
2005-04-13;25
2005-04-14;25
2005-04-15;25
2005-04-16;25
2005-04-17;25
2005-04-18;25
2005-04-19;25
2005-04-20;26
2005-04-21;27
2005-04-22;28
2005-04-23;29
2005-04-24;31
2005-04-25;32
2005-04-26;33
2005-04-27;35
2005-04-28;36
2005-04-29;38
2005-04-30;42
2005-05-01;49
2005-05-02;52
2005-05-03;54
2005-05-04;65
2005-05-05;70
2005-05-06;89
2005-05-07;146
2005-05-08;218
2005-05-09;507
2005-05-10;565
2005-05-11;519
2005-05-12;519
2005-05-13;572
2005-05-14;543
2005-05-15;499
2005-05-16;515
2005-05-17;533
2005-05-18;547
2005-05-19;692
2005-05-20;684
2005-05-21;619
2005-05-22;570
2005-05-23;551
2005-05-24;552
2005-05-25;559
2005-05-26;586
2005-05-27;609
2005-05-28;610
2005-05-29;579
2005-05-30;538
2005-05-31;510
2005-06-01;485
2005-06-02;493
2005-06-03;510
2005-06-04;525
2005-06-05;537
2005-06-06;574
2005-06-07;619
2005-06-08;678
2005-06-09;736
2005-06-10;770
2005-06-11;769
2005-06-12;747
2005-06-13;727
2005-06-14;706
2005-06-15;686
2005-06-16;654
2005-06-17;625
2005-06-18;588
2005-06-19;555
2005-06-20;526
2005-06-21;510
2005-06-22;498
2005-06-23;487
2005-06-24;481
2005-06-25;494
2005-06-26;512
2005-06-27;590
2005-06-28;598
2005-06-29;542
2005-06-30;499
2005-07-01;466
2005-07-02;437
2005-07-03;418
2005-07-04;405
2005-07-05;399
2005-07-06;407
2005-07-07;485
2005-07-08;552
2005-07-09;554
2005-07-10;553
2005-07-11;578
2005-07-12;605
