Date;Value
2001-01-11;92
2001-02-11;124
2001-03-11;158
2001-04-11;155
2001-05-11;147
2001-06-11;115
2001-07-11;153
2001-08-11;159
2001-10-20;147
2001-10-21;137
2001-10-22;147
2001-10-23;155
2001-10-24;176
2001-10-25;184
2001-10-26;174
2001-10-27;173
2001-10-28;153
2001-10-29;153
2001-10-30;138
2001-10-31;104
2001-11-01;92
2001-11-02;124
2001-11-03;158
2001-11-04;155
2001-11-05;147
2001-11-06;115
2001-11-07;153
2001-11-08;159
2002-04-20;47
2002-04-21;47
2002-04-22;47
2002-04-23;48
2002-04-24;49
2002-04-25;49
2002-04-26;49
2002-04-27;52
2002-04-28;53
2002-04-29;56
2002-04-30;58
2002-05-01;61
2002-05-02;68
2002-05-03;71
2002-05-04;76
2002-05-05;80
2002-05-06;85
2002-05-07;93
2002-05-08;104
2002-05-09;121
2002-05-10;171
2002-05-11;213
2002-05-12;261
2002-05-13;322
2002-05-14;394
2002-05-15;609
2002-05-16;754
2002-05-17;772
2002-05-18;770
2002-05-19;763
2002-05-20;751
2002-05-21;763
2002-05-22;743
2002-05-23;739
2002-05-24;730
2002-05-25;718
2002-05-26;702
2002-05-27;693
2002-05-28;686
2002-05-29;684
2002-05-30;689
2002-05-31;705
2002-06-01;718
2002-06-02;715
2002-06-03;695
2002-06-04;665
2002-06-05;632
2002-06-06;598
2002-06-07;676
2002-06-08;566
2002-06-09;558
2002-06-10;560
2002-06-11;554
2002-06-12;547
2002-06-13;536
2002-06-14;501
2002-06-15;498
2002-06-16;487
2002-06-17;485
2002-06-18;477
2002-06-19;470
2002-06-20;464
2002-06-21;459
2002-06-22;456
2002-06-23;455
2002-06-24;457
2002-06-25;456
2002-06-26;451
2002-06-27;440
2002-06-28;431
2002-06-29;412
2002-06-30;396
2002-07-01;385
2002-07-02;380
2002-07-03;387
2002-07-04;398
2002-07-05;407
2002-07-06;409
2002-07-07;403
2002-07-08;395
2002-07-09;392
2002-07-10;407
2002-07-11;424
2002-07-16;455
2002-07-17;446
2002-07-18;436
2002-07-19;424
2002-07-23;385
2002-07-24;360
2002-07-25;345
2002-07-26;337
2002-07-30;275
2002-07-31;264
2002-08-01;254
2002-08-02;243
2002-08-03;239
2002-08-04;242
2002-08-05;243
2002-08-06;240
2002-08-07;232
2002-08-08;247
2002-08-09;279
2002-08-10;286
2002-08-11;300
2002-08-12;297
2002-08-13;295
2002-08-14;290
2002-08-15;285
2002-08-16;277
2002-08-17;268
2002-08-18;259
2002-08-19;232
2002-08-20;215
2002-08-21;210
2002-08-22;201
2002-08-23;193
2002-08-24;188
2002-08-25;185
2002-08-26;180
2002-08-27;175
2002-08-28;172
2002-08-29;171
2002-08-30;170
2002-08-31;170
2002-09-01;172
2002-09-02;180
2002-09-03;186
2002-09-04;207
2002-09-05;248
2002-09-06;278
2002-09-07;314
2002-09-08;329
2002-09-09;347
2002-09-10;371
2002-09-11;377
2002-09-12;365
2002-09-13;347
2002-09-14;325
2002-09-15;304
2002-09-16;288
2002-09-17;275
2002-09-18;268
2002-09-19;270
2002-09-20;273
2002-09-21;275
2002-09-22;276
2002-09-23;277
2002-09-24;274
2002-09-25;271
2002-09-26;266
2002-09-27;260
2002-09-28;257
2002-09-29;259
2002-09-30;264
2002-10-01;279
2002-10-02;287
2002-10-03;289
2002-10-04;289
2002-10-05;285
2002-10-06;280
2002-10-07;276
2002-10-08;262
2002-10-09;253
2002-10-10;244
2002-10-11;237
2002-10-12;228
2002-10-13;222
2002-10-14;216
2002-10-15;206
2002-10-16;192
2002-10-17;188
2002-10-18;203
2002-10-19;200
2002-10-20;201
2002-10-21;190
2002-10-22;182
2002-10-23;164
2002-10-24;159
2002-10-25;159
2002-10-26;154
2002-10-27;159
2002-10-28;150
2002-10-29;138
2002-10-30;125
2002-10-31;119
2002-11-01;102
2002-11-02;74
2002-11-03;49
2002-11-04;41
2002-11-05;52
2002-11-06;73
2002-11-07;81
2002-11-08;87
2002-11-09;89
2002-11-10;92
2002-11-11;0
2003-04-21;74
2003-04-22;76
2003-04-23;78
2003-04-24;82
2003-04-25;87
2003-04-26;94
2003-04-27;97
2003-04-28;102
2003-04-29;107
2003-04-30;108
2003-05-01;111
2003-05-02;116
2003-05-03;118
2003-05-04;122
2003-05-05;119
2003-05-06;123
2003-05-07;125
2003-05-08;127
2003-05-09;129
2003-05-10;131
2003-05-11;132
2003-05-12;134
2003-05-13;105
2003-05-14;105
2003-05-15;106
2003-05-16;107
2003-05-17;111
2003-05-18;225
2003-05-19;155
2003-05-20;202
2003-05-21;245
2003-05-22;265
2003-05-23;529
2003-05-24;582
2003-05-25;557
2003-05-26;721
2003-05-27;755
2003-05-28;678
2003-05-29;599
2003-05-30;543
2003-05-31;500
2003-06-01;480
2003-06-02;478
2003-06-03;456
2003-06-04;451
2003-06-05;453
2003-06-06;461
2003-06-07;465
2003-06-08;523
2003-06-09;574
2003-06-10;589
2003-06-13;554
2003-06-14;488
2003-06-15;484
2003-06-16;465
2003-06-17;460
2003-06-18;468
2003-06-19;461
2003-06-20;453
2003-06-21;445
2003-06-22;434
2003-06-23;425
