Date;Value
2001-01-11;143
2001-02-11;120
2001-03-11;114
2001-04-11;229
2001-05-11;232
2001-06-11;232
2001-07-11;232
2001-08-11;234
2001-10-20;160
2001-10-21;172
2001-10-22;167
2001-10-23;167
2001-10-24;166
2001-10-25;160
2001-10-26;158
2001-10-27;158
2001-10-28;153
2001-10-29;149
2001-10-30;145
2001-10-31;145
2001-11-01;143
2001-11-02;120
2001-11-03;114
2001-11-04;229
2001-11-05;232
2001-11-06;232
2001-11-07;232
2001-11-08;234
2002-04-20;77
2002-04-21;77
2002-04-22;77
2002-04-23;77
2002-04-24;77
2002-04-25;79
2002-04-26;79
2002-04-27;80
2002-04-28;80
2002-04-29;80
2002-04-30;80
2002-05-01;80
2002-05-02;81
2002-05-03;81
2002-05-04;81
2002-05-05;81
2002-05-06;81
2002-05-07;81
2002-05-08;83
2002-05-09;83
2002-05-10;83
2002-05-11;91
2002-05-12;101
2002-05-13;117
2002-05-14;130
2002-05-15;149
2002-05-16;184
2002-05-17;310
2002-05-18;586
2002-05-19;972
2002-05-20;1053
2002-05-21;1088
2002-05-22;1158
2002-05-23;1172
2002-05-24;1156
2002-05-25;1153
2002-05-26;1002
2002-05-27;976
2002-05-28;945
2002-05-29;908
2002-05-30;898
2002-05-31;882
2002-06-01;846
2002-06-02;831
2002-06-03;801
2002-06-04;796
2002-06-05;786
2002-06-06;766
2002-06-07;764
2002-06-08;715
2002-06-09;703
2002-06-10;660
2002-06-11;625
2002-06-12;620
2002-06-13;620
2002-06-14;620
2002-06-15;642
2002-06-16;618
2002-06-17;598
2002-06-18;582
2002-06-19;571
2002-06-20;561
2002-06-21;541
2002-06-22;527
2002-06-23;515
2002-06-24;507
2002-06-25;503
2002-06-26;500
2002-06-27;498
2002-06-28;500
2002-06-29;502
2002-06-30;495
2002-07-01;470
2002-07-02;457
2002-07-03;451
2002-07-04;445
2002-07-05;430
2002-07-06;418
2002-07-07;405
2002-07-08;408
2002-07-09;413
2002-07-10;429
2002-07-11;437
2002-07-16;501
2002-07-17;491
2002-07-18;487
2002-07-19;487
2002-07-23;513
2002-07-24;495
2002-07-25;457
2002-07-26;434
2002-07-30;357
2002-07-31;338
2002-08-01;319
2002-08-02;310
2002-08-03;288
2002-08-04;285
2002-08-05;281
2002-08-06;276
2002-08-07;271
2002-08-08;267
2002-08-09;265
2002-08-10;265
2002-08-11;268
2002-08-12;283
2002-08-13;290
2002-08-14;301
2002-08-15;309
2002-08-16;326
2002-08-17;348
2002-08-18;372
2002-08-19;377
2002-08-20;347
2002-08-21;333
2002-08-22;306
2002-08-23;290
2002-08-24;273
2002-08-25;267
2002-08-26;258
2002-08-27;250
2002-08-28;250
2002-08-29;240
2002-08-30;228
2002-08-31;222
2002-09-01;217
2002-09-02;217
2002-09-03;264
2002-09-04;314
2002-09-05;343
2002-09-06;364
2002-09-07;304
2002-09-08;364
