Date;Value
2001-01-11;196
2001-02-11;184
2001-03-11;184
2001-04-11;173
2001-05-11;173
2001-06-11;158
2001-08-11;0
2001-10-20;151
2001-10-21;142
2001-10-22;120
2001-10-23;128
2001-10-24;142
2001-10-25;165
2001-10-26;167
2001-10-27;149
2001-10-28;149
2001-10-29;130
2001-10-30;125
2001-10-31;114
2001-11-01;196
2001-11-02;184
2001-11-03;184
2001-11-04;173
2001-11-05;173
2001-11-06;158
2001-11-07;0
2001-11-08;0
2002-04-15;-9
2002-04-16;-9
2002-04-17;-9
2002-04-18;-9
2002-04-19;-9
2002-04-20;-11
2002-04-21;-12
2002-04-22;-13
2002-04-23;-13
2002-04-24;-13
2002-04-25;-13
2002-04-26;-12
2002-04-27;-12
2002-04-28;-11
2002-04-29;-11
2002-04-30;-9
2002-05-01;-7
2002-05-02;-5
2002-05-03;0
2002-05-04;2
2002-05-05;10
2002-05-06;16
2002-05-07;21
2002-05-08;36
2002-05-09;53
2002-05-10;91
2002-05-11;156
2002-05-12;223
2002-05-13;297
2002-05-14;388
2002-05-15;784
2002-05-16;817
2002-05-17;864
2002-05-18;862
2002-05-19;852
2002-05-20;839
2002-05-21;848
2002-05-22;839
2002-05-23;827
2002-05-24;820
2002-05-25;815
2002-05-26;800
2002-05-27;787
2002-05-28;776
2002-05-29;774
2002-05-30;773
2002-05-31;784
2002-06-01;801
2002-06-02;806
2002-06-03;795
2002-06-04;774
2002-06-05;749
2002-06-06;701
2002-06-09;646
2002-06-10;646
2002-06-11;643
2002-06-12;640
2002-06-13;621
2002-06-14;596
2002-06-15;580
2002-06-16;568
2002-06-17;564
2002-06-18;559
2002-06-19;553
2002-06-20;542
2002-06-21;541
2002-06-22;540
2002-06-23;540
2002-06-24;540
2002-06-25;541
2002-06-26;539
2002-06-27;534
2002-06-28;519
2002-06-29;513
2002-06-30;475
2002-07-01;455
2002-07-02;442
2002-07-03;440
2002-07-04;452
2002-07-05;473
2002-07-06;477
2002-07-07;473
2002-07-08;466
2002-07-09;459
2002-07-10;469
2002-07-11;496
2002-07-16;549
2002-07-17;539
2002-07-18;526
2002-07-19;519
2002-07-20;320
2002-07-23;455
2002-07-24;432
2002-07-25;410
2002-07-26;391
2002-08-01;290
2002-08-02;276
2002-08-03;276
2002-08-04;268
2002-08-05;272
2002-08-06;273
2002-08-07;266
2002-08-08;273
2002-08-09;301
2002-08-10;328
2002-08-11;339
2002-08-12;335
2002-08-13;333
2002-08-14;333
2002-08-15;330
2002-08-16;318
2002-08-17;304
2002-08-18;290
2002-08-19;283
2002-08-20;262
2002-08-21;246
2002-08-22;233
2002-08-23;223
2002-08-24;213
2002-08-25;211
2002-08-26;208
2002-08-27;201
2002-08-28;194
2002-08-29;194
2002-08-30;193
2002-08-31;190
2002-09-01;193
2002-09-02;202
2002-09-03;202
2002-09-04;216
2002-09-05;257
2002-09-06;308
2002-09-07;348
2002-09-08;370
