Date;Value
2001-01-11;4
2001-02-11;0
2001-04-11;-24
2001-06-11;-30
2001-07-11;-30
2001-08-11;-32
2001-10-11;-38
2001-10-20;56
2001-10-21;50
2001-10-22;47
2001-10-23;43
2001-10-24;38
2001-10-25;35
2001-10-26;27
2001-10-27;27
2001-10-28;22
2001-10-29;16
2001-10-30;10
2001-10-31;5
2001-11-01;4
2001-11-02;4
2001-11-03;-24
2001-11-04;-24
2001-11-05;-30
2001-11-06;-30
2001-11-07;-30
2001-11-08;-32
2001-11-09;-38
2001-11-10;-38
2001-11-11;-44
2001-11-12;-62
2001-11-13;-64
2001-11-14;-45
2001-11-15;-45
2001-11-16;-44
2001-11-17;-42
2001-11-18;-30
2001-11-19;-29
2001-11-20;-10
2001-11-21;-46
2001-11-25;56
2001-11-26;62
2001-11-27;50
2001-11-28;150
2001-11-29;170
2001-11-30;0
2001-12-11;-62
2002-04-01;60
2002-04-02;59
2002-04-03;50
2002-04-04;58
2002-04-05;58
2002-04-06;57
2002-04-07;56
2002-04-08;56
2002-04-09;55
2002-04-10;52
2002-04-11;50
2002-04-12;50
2002-04-13;49
2002-04-14;49
2002-04-15;49
2002-04-16;49
2002-04-17;48
2002-04-18;48
2002-04-19;48
2002-04-20;48
2002-04-21;48
2002-04-22;48
2002-04-23;47
2002-04-24;47
2002-04-25;47
2002-04-26;47
2002-04-27;48
2002-04-28;48
2002-04-29;48
2002-04-30;48
2002-05-01;48
2002-05-02;48
2002-05-03;48
2002-05-04;50
2002-05-05;51
2002-05-06;53
2002-05-07;58
2002-05-08;77
2002-05-09;110
2002-05-10;180
2002-05-11;476
2002-05-12;630
2002-05-13;619
2002-05-14;591
2002-05-15;575
2002-05-16;652
2002-05-17;718
2002-05-18;775
2002-05-19;799
2002-05-20;783
2002-05-21;742
2002-05-22;687
2002-05-23;632
2002-05-24;633
2002-05-25;674
2002-05-26;723
2002-05-27;764
2002-05-28;800
2002-05-29;804
2002-05-30;739
2002-05-31;662
2002-06-01;620
2002-06-02;642
2002-06-03;652
2002-06-04;657
2002-06-05;654
2002-06-06;652
2002-06-07;605
2002-06-08;558
2002-06-09;528
2002-06-10;516
2002-06-11;534
2002-06-12;505
2002-06-13;466
2002-06-14;438
2002-06-15;418
2002-06-16;410
2002-06-17;453
2002-06-18;461
2002-06-19;484
2002-06-20;496
2002-06-21;440
2002-06-22;421
2002-06-23;411
2002-06-24;397
2002-06-25;382
2002-06-26;369
2002-06-27;423
2002-06-28;502
2002-06-29;469
2002-06-30;435
2002-07-01;418
2002-07-02;423
2002-07-03;473
2002-07-04;496
2002-07-05;518
2002-07-06;542
2002-07-07;556
2002-07-08;543
2002-07-09;509
2002-07-10;466
2002-07-11;436
2002-07-16;340
2002-07-17;311
2002-07-18;287
2002-07-19;256
2002-07-23;193
2002-07-24;182
2002-07-25;172
2002-07-26;166
2002-07-29;147
2002-07-30;146
2002-07-31;147
2002-08-01;130
2002-08-02;124
2002-08-03;128
2002-08-04;160
2002-08-05;208
2002-08-06;213
2002-08-07;212
2002-08-08;206
2002-08-09;180
2002-08-10;161
2002-08-11;143
2002-08-12;129
2002-08-13;124
2002-08-14;117
2002-08-15;100
2002-08-16;95
2002-08-17;90
2002-08-18;84
2002-08-19;76
2002-08-20;76
2002-08-21;47
2002-08-22;81
2002-08-23;79
2002-08-24;77
2002-08-25;77
2002-08-26;83
2002-08-27;89
2002-08-28;94
2002-08-29;96
2002-08-30;99
2002-08-31;115
2002-09-01;169
2002-09-02;326
2002-09-03;368
2002-09-04;352
2002-09-05;314
2002-09-06;257
2002-09-07;218
2002-09-08;185
2002-09-09;173
2002-09-10;168
2002-09-11;170
2002-09-12;177
2002-09-13;177
2002-09-14;178
2002-09-15;186
2002-09-16;189
2002-09-17;195
2002-09-18;188
2002-09-19;178
2002-09-20;167
2002-09-21;159
2002-09-22;147
2002-09-23;162
2002-09-24;167
2002-09-25;181
2002-09-26;178
2002-09-27;175
2002-09-28;171
2002-09-29;167
2002-09-30;162
2002-10-01;153
2002-10-02;140
2002-10-03;138
2002-10-04;136
2002-10-05;131
2002-10-06;126
2002-10-07;116
2002-10-08;110
2002-10-09;107
2002-10-10;102
2002-10-11;99
2002-10-12;94
2002-10-13;90
2002-10-14;84
2002-10-15;77
2002-10-16;71
2002-10-17;64
2002-10-18;58
2002-10-19;55
2002-10-20;48
2002-10-21;41
2002-10-22;28
2002-10-23;28
2002-10-24;12
2002-10-25;1
2002-10-26;-16
2002-10-27;-27
2002-10-28;-31
2002-10-29;-25
2002-10-30;-16
2002-10-31;-21
2002-11-01;-21
2002-11-02;-14
2002-11-03;-11
2002-11-04;-6
2002-11-05;-4
2002-11-06;-6
2002-11-07;-9
2002-11-08;-9
2002-11-09;-11
2002-11-10;-17
2002-11-11;-27
2002-11-12;-33
2002-11-13;-34
2002-11-14;138
2002-11-15;133
2002-11-18;0
2002-11-19;0
2003-04-10;9
2003-04-11;9
2003-04-14;9
2003-04-15;12
2003-04-16;13
2003-04-17;13
2003-04-18;14
2003-04-19;15
2003-04-20;15
2003-04-21;16
2003-04-22;17
2003-04-23;18
2003-04-24;18
2003-04-25;18
2003-04-26;18
2003-04-27;19
2003-04-28;19
2003-04-29;19
2003-04-30;23
2003-05-01;24
2003-05-02;25
2003-05-03;25
2003-05-04;25
2003-05-05;26
2003-05-06;27
2003-05-07;28
2003-05-08;31
2003-05-09;33
2003-05-10;44
2003-05-11;49
2003-05-12;59
2003-05-13;70
2003-05-14;84
2003-05-15;112
2003-05-16;491
2003-05-17;452
2003-05-18;452
2003-05-19;419
2003-05-20;455
2003-05-21;459
2003-05-22;457
2003-05-23;442
2003-05-24;414
2003-05-25;338
2003-05-26;288
2003-05-27;247
2003-05-28;232
2003-05-29;253
2003-05-30;247
2003-05-31;245
2003-06-01;248
2003-06-02;263
2003-06-03;370
2003-06-04;509
2003-06-05;586
2003-06-06;600
2003-06-07;578
2003-06-08;544
2003-06-09;442
2003-06-10;386
2003-06-13;348
2003-06-14;352
2003-06-15;350
2003-06-16;346
2003-06-17;363
2003-06-18;348
2003-06-19;325
2003-06-20;318
2003-06-21;306
2003-06-22;271
2003-06-23;245
2003-06-24;212
2003-06-25;192
2003-06-26;154
2003-06-27;190
2003-06-28;206
2003-06-29;207
2003-06-30;215
2003-07-01;200
2003-07-02;181
2003-07-03;129
2003-07-04;126
2003-07-05;124
2003-07-06;119
2003-07-07;127
2003-07-08;129
2003-07-09;129
2003-07-10;131
2003-07-11;139
2003-07-12;129
2003-07-13;118
2003-07-14;108
2003-07-15;92
2003-07-16;89
2003-07-24;78
2003-07-25;70
2003-07-26;65
2003-07-27;58
2003-07-28;52
2003-07-29;55
2003-07-30;72
2003-07-31;147
2003-08-01;260
2003-08-02;294
2003-08-03;308
2003-08-04;326
2003-08-05;329
2003-08-06;312
2003-08-07;282
2003-08-08;250
2003-08-09;213
2003-08-10;188
2003-08-11;209
2003-08-12;252
2003-08-13;256
2003-08-14;256
2003-08-15;286
2003-08-16;302
2003-08-17;322
2003-08-18;344
2003-08-19;335
2003-08-20;325
2003-08-21;330
2003-08-22;346
2003-08-23;373
2003-08-24;381
2003-08-25;376
2003-08-26;353
2003-08-27;318
2003-08-28;288
2003-08-29;254
2003-08-30;230
2003-08-31;115
2003-09-01;250
2003-09-02;287
2003-09-03;288
2003-09-04;271
2003-09-05;247
2003-09-06;237
2003-09-07;218
2003-09-08;194
2003-09-09;185
2003-09-10;177
2003-09-11;163
2003-09-12;177
2003-09-13;139
2003-09-14;139
2003-09-15;143
2003-09-16;142
2003-09-17;141
2003-09-18;133
2003-09-19;125
2003-09-20;112
2003-09-21;159
2003-09-22;111
2003-09-23;112
2003-09-24;112
2003-09-25;111
2003-09-26;111
2003-09-27;258
2003-09-28;106
2003-09-29;106
2003-09-30;113
2003-10-01;117
2003-10-02;117
2003-10-03;107
2003-10-04;100
2003-10-05;96
2003-10-06;94
2003-10-07;94
2003-10-08;93
2003-10-09;92
2003-10-10;91
2003-10-11;89
2003-10-12;88
2003-10-13;82
2003-10-14;81
2003-10-15;84
2003-10-16;85
2003-10-17;86
2003-10-18;83
2003-10-19;55
2003-10-20;78
2003-10-21;77
2003-10-22;74
2003-10-23;71
2003-10-24;67
2003-10-25;63
2003-10-26;57
2003-10-27;49
2003-10-28;42
2003-10-29;32
2003-10-30;14
2003-10-31;-2
2003-11-01;-32
2003-11-02;-48
2003-11-03;-58
2003-11-04;-70
2003-11-05;-88
2003-11-06;-96
2003-11-07;-102
2003-11-08;-109
2003-11-09;-113
2003-11-10;-122
2003-11-11;-124
2003-11-12;-116
