Date;Value
2001-01-11;0
2001-02-11;0
2001-03-11;0
2001-04-11;0
2001-10-20;10
2001-10-21;10
2001-10-22;10
2001-10-23;10
2001-10-24;9
2001-10-25;9
2001-10-26;8
2001-10-27;7
2001-10-28;7
2001-10-29;7
2001-10-30;6
2001-10-31;0
2001-11-01;0
2001-11-02;0
2001-11-03;0
2001-11-04;0
2002-05-03;-191
2002-05-04;-191
2002-05-05;-191
2002-05-06;-188
2002-05-07;-183
2002-05-08;-176
2002-05-09;-173
2002-05-10;-170
2002-05-11;-166
2002-05-12;-163
2002-05-13;-152
2002-05-14;-146
2002-05-15;-137
2002-05-16;-122
2002-05-17;-111
2002-05-18;-70
2002-05-19;-31
2002-05-20;-1
2002-05-21;68
2002-05-22;431
2002-05-23;525
2002-05-24;649
2002-05-25;881
2002-05-26;1364
2002-05-27;1257
2002-05-28;1207
2002-05-29;1147
2002-05-30;1140
2002-05-31;1136
2002-06-01;1130
2002-06-02;1124
2002-06-03;1120
2002-06-04;1116
2002-06-05;1112
2002-06-06;1107
2002-06-07;1104
2002-06-08;1101
2002-06-09;1098
2002-06-10;1092
2002-06-11;951
2002-06-12;881
2002-06-13;856
2002-06-14;783
2002-06-17;733
2002-06-18;722
2002-06-19;686
2002-06-20;669
2002-06-21;658
2002-06-22;636
2002-06-23;625
2002-06-24;572
2002-06-25;555
2002-06-26;534
2002-06-27;517
2002-06-28;510
2002-06-29;507
2002-06-30;502
2002-07-01;498
2002-07-02;493
2002-07-03;490
2002-07-04;485
2002-07-05;480
2002-07-06;460
2002-07-07;441
2002-07-08;420
2002-07-09;400
2002-07-10;391
2002-07-11;360
2002-07-16;318
2002-07-17;336
2002-07-18;274
2002-07-19;285
2002-07-23;362
2002-07-24;411
2002-07-25;400
2002-07-26;395
2002-07-30;292
2002-07-31;281
2002-08-01;271
2002-08-02;237
2002-08-03;207
2002-08-04;186
2002-08-05;157
2002-08-06;134
2002-08-09;84
2002-08-10;69
2002-08-11;54
2002-08-12;41
2002-08-13;28
2002-08-14;20
2002-08-15;11
2002-08-16;35
2002-08-17;55
2002-08-18;76
2002-08-19;99
2002-08-20;110
2002-08-21;113
2002-08-22;127
2002-08-23;153
2002-08-24;177
2002-08-25;198
2002-08-26;166
2002-08-27;145
2002-08-28;130
2002-08-29;121
2002-08-30;113
2002-08-31;108
2002-09-01;102
2002-09-02;100
2002-09-03;97
2002-09-04;95
2002-09-05;93
2002-09-06;106
2002-09-07;147
2002-09-08;187
2002-09-09;220
2002-09-10;227
2002-09-11;236
2002-09-12;245
2002-09-13;256
2002-09-14;280
2002-09-15;296
2002-09-16;308
2002-09-17;326
2002-09-18;346
2002-09-19;340
2002-09-20;212
2002-09-21;291
2002-09-22;269
2002-09-23;254
2002-09-24;237
2002-09-25;228
2002-09-26;211
2002-09-27;192
2002-09-28;185
2002-09-29;184
2002-09-30;181
2002-10-01;173
2002-10-02;163
2002-10-03;149
2002-10-04;136
2002-10-05;131
2002-10-06;121
2002-10-07;118
2002-10-08;115
2002-10-09;118
2002-10-10;120
2002-10-11;119
2002-10-12;118
2002-10-13;117
2002-10-14;116
2002-10-15;115
2002-10-16;114
2002-10-17;106
2002-10-18;91
2002-10-19;76
2002-10-20;59
2002-10-21;31
2002-10-22;41
2002-10-23;31
2002-10-24;6
2002-10-25;-26
2002-10-26;-54
2002-10-27;-69
2002-10-28;-76
2002-10-29;-86
2002-10-30;-88
2002-10-31;-257
2002-11-01;-228
2002-11-02;-117
2003-04-30;-127
2003-05-03;-127
2003-05-04;-127
2003-05-05;-127
2003-05-06;-128
2003-05-07;-128
2003-05-08;-128
2003-05-09;-127
2003-05-10;-126
2003-05-11;-123
2003-05-12;-118
2003-05-13;-115
2003-05-14;114
2003-05-15;-111
2003-05-16;-108
2003-05-17;-105
2003-05-18;-103
2003-05-19;-101
2003-05-20;-99
2003-05-21;-98
2003-05-22;-96
2003-05-23;-94
2003-05-24;-92
2003-05-25;-90
2003-05-26;-87
2003-05-27;-35
2003-05-28;36
2003-05-29;66
2003-05-30;96
2003-05-31;162
2003-06-01;358
2003-06-02;1124
2003-06-03;1120
2003-06-04;773
2003-06-05;958
2003-06-06;956
2003-06-07;934
2003-06-08;897
2003-06-09;862
2003-06-10;827
2003-06-13;736
2003-06-14;741
2003-06-15;764
2003-06-16;774
2003-06-17;777
2003-06-18;779
2003-06-19;786
2003-06-20;773
2003-06-21;647
2003-06-22;699
