year,posts_total,hydro_extreme_posts,hydro_extreme_share,chs_count
2008,9,0,0.0,1.0
2009,9,7,0.7777777777777778,0.0
2010,9,4,0.4444444444444444,1.0
2011,9,1,0.1111111111111111,1.0
2012,9,7,0.7777777777777778,1.0
2013,9,1,0.1111111111111111,2.0
2014,9,3,0.3333333333333333,0.0
2015,9,1,0.1111111111111111,1.0
2016,9,3,0.3333333333333333,0.0
2017,9,3,0.3333333333333333,0.0
2018,9,3,0.3333333333333333,7.0
2019,9,1,0.1111111111111111,0.0
2020,9,1,0.1111111111111111,1.0
2021,9,0,0.0,0.0
2022,9,2,0.2222222222222222,1.0
2023,9,3,0.3333333333333333,1.0
